ID,Date,Product,Amount,CustomerAge,SalesRegion
70,2025-01-14,Wdgt,3302.69,92.0,East
72,2025-01-11,Gadgets,1074.94,11.0,NorthWest
73,2025-01-05,Widge,1846.71,20.0,East
74,2025-01-10,Wdgt,3547.76,44.0,West
75,2025-01-14,Widget,556.17,55.0,SouthEast
76,2025-01-08,Widge,3332.47,71.0,East
76,2025-01-04,Gadget,4830.85,40.0,West
78,2025-01-12,Widget,3183.96,86.0,West
79,2025-01-07,Widgets,1398.0,96.0,SouthEast
80,2025-01-06,Wdgt,3583.12,5.0,Unknown
81,2025-01-11,Widgets,408.96,72.0,East
82,2025-01-13,Wdgt,2304.32,48.0,NorthWest
83,2025-01-10,Widget,2775.49,23.0,West
83,2025-01-02,Widget,3622.98,95.0,Unknown
84,2025-01-03,Widget,3578.05,92.0,NorthEast
85,2025-01-13,Wdgt,3093.35,72.0,NorthWest
87,2025-01-10,Widge,3524.7,81.0,NorthWest
87,2025-01-03,Widget,3121.37,41.0,NorthWest
89,2025-01-XX,Widge,110.1,50.0,SouthWest
90,2025-01-04,Widget,4276.08,41.0,NorthWest
91,2025-01-12,Gadget,4115.53,87.0,NorthEast
92,2025-01-14,Gadget,1380.4,1.0,East
93,2025-01-03,Wdgt,95.91,86.0,Unknown
94,2025-01-08,Widge,3049.07,55.0,SouthEast
95,2025-01-XX,Gadgets,2282.94,75.0,Unknown
95,2025-01-12,Gadgets,962.26,,SouthEast
96,2025-01-14,Widget,3787.76,55.0,East
97,2025-01-08,Gadget,2949.94,28.0,East
98,2025-01-08,Gadgets,3991.87,53.0,NorthWest
100,2025-01-12,Widge,1375.66,99.0,NorthWest
100,2025-01-01,Widge,2286.88,32.0,Unknown
102,2025-01-12,Widgets,20169.72,-1.0,West
103,2025-01-15,Wdgt,1167.61,,NorthEast
104,2025-01-13,Widge,abc,,Unknown
105,2025-01-12,Gadgets,61443.5,62.0,SouthEast
105,2025-01-10,Gadgets,1597.21,25.0,NorthEast
106,2025-01-05,Widgets,3681.37,,NorthWest
107,2025-01-14,Widget,1707.06,9.0,West
108,2025-01-12,Widget,252.75,6.0,Unknown
110,2025-01-03,Widge,1122.94,,SouthWest
110,2025-01-11,Gadget,4882.64,81.0,West
112,2025-01-06,Widgets,141.6,23.0,Unknown
113,2025-01-08,Gadgets,2831.76,,NorthEast
113,2025-01-06,Wdgt,2457.58,3.0,SouthWest
115,2025-01-03,Widgets,1649.03,65.0,NorthWest
116,2025-01-12,Wdgt,1526.63,86.0,NorthWest
117,2025-01-04,Widgets,825.57,63.0,East
117,2025-01-01,Gadgets,3019.02,,Unknown
118,2025-01-09,Gadget,4978.78,,SouthWest
120,2025-01-01,Widget,652.88,11.0,NorthWest
121,2025-01-04,Wdgt,1673.01,76.0,NorthWest
121,2025-01-05,Wdgt,1399.9,-5.0,NorthEast
123,2025-01-10,Wdgt,3459.75,-2.0,NorthWest
124,2025-01-12,Gadgets,1377.95,27.0,SouthEast
125,2025-01-06,Widgets,2471.65,-2.0,Unknown
126,2025-01-07,Widgets,68.42,73.0,West
127,2025-01-08,Gadget,abc,,West
128,2025-01-09,Gadget,3893.06,65.0,East
128,2025-01-05,Widgets,1862.94,52.0,NorthEast
129,2025-01-05,Widget,3131.0,92.0,SouthWest
131,2025-01-12,Widget,2580.38,26.0,SouthEast
132,2025-01-06,Gadget,1157.63,74.0,Unknown
133,2025-01-06,Widgets,3311.31,58.0,Unknown
134,2025-01-09,Widget,3821.1,32.0,East
135,2025-01-10,Gadgets,2410.12,,SouthEast
135,2025-01-05,Gadget,2692.34,34.0,Unknown
136,2025-01-04,Gadget,2469.37,74.0,SouthWest
137,2025-01-01,Wdgt,4126.54,50.0,West
138,2025-01-06,Widget,2576.2,53.0,East
140,2025-01-04,Wdgt,abc,3.0,Unknown
140,2025-01-09,Wdgt,1557.77,83.0,Unknown
142,2025-01-XX,Widgets,2862.73,85.0,NorthEast
143,2025-01-05,Widget,4024.97,,Unknown
143,2025-01-14,Widget,123.29,90.0,NorthEast
144,2025-01-10,Gadget,3939.08,54.0,Unknown
145,2025-01-02,Gadget,2481.27,49.0,SouthWest
147,2025-01-06,Wdgt,2542.02,29.0,West
147,2025-01-05,Gadget,2380.28,19.0,SouthWest
149,2025-01-05,Widget,3348.8,36.0,West
149,2025-01-01,Widge,1040.25,84.0,Unknown
151,2025-01-01,Widget,387.16,98.0,East
151,2025-01-11,Gadgets,2399.89,-2.0,East
153,2025-01-15,Widgets,94899.03,20.0,SouthEast
154,2025-01-12,Wdgt,2801.52,35.0,SouthEast
155,2025-01-12,Gadget,4097.31,27.0,West
155,2025-01-13,Widget,4190.24,43.0,SouthWest
156,2025-01-08,Widgets,3734.27,30.0,NorthWest
158,2025-01-06,Gadgets,2489.04,81.0,East
158,2025-01-12,Gadgets,92472.57,28.0,SouthEast
160,2025-01-12,Gadget,2855.55,5.0,SouthEast
161,2025-01-15,Widge,abc,91.0,Unknown
161,2025-01-10,Widget,2927.11,42.0,NorthEast
162,2025-01-10,Widgets,968.89,2.0,SouthWest
163,2025-01-14,Widgets,3837.47,74.0,NorthEast
164,2025-01-12,Gadget,3769.39,53.0,NorthEast
166,2025-01-01,Gadgets,193.0,95.0,Unknown
166,2025-01-08,Gadget,4289.96,17.0,SouthEast
168,2025-01-14,Gadgets,3775.09,55.0,Unknown
169,2025-01-12,Gadgets,1361.39,53.0,NorthEast
169,2025-01-13,Widget,4837.33,,NorthEast
171,2025-01-14,Widget,3931.25,39.0,East
171,2025-01-09,Widge,1169.42,60.0,Unknown
173,2025-01-13,Widget,513.59,81.0,NorthEast
174,2025-01-02,Wdgt,2874.9,32.0,NorthWest
175,2025-01-09,Widgets,684.28,89.0,East
176,2025-01-11,Widgets,3794.72,31.0,NorthEast
177,2025-01-12,Gadgets,81980.74,,West
177,2025-01-05,Widgets,4537.86,49.0,East
178,2025-01-12,Gadget,5995.3,49.0,NorthWest
180,2025-01-03,Wdgt,4911.14,79.0,SouthWest
181,2025-01-15,Widge,56528.44,84.0,West
181,2025-01-14,Widget,1866.17,22.0,SouthEast
182,2025-01-XX,Widget,4661.72,,SouthEast
184,2025-01-13,Widgets,201.44,88.0,NorthWest
185,2025-01-03,Gadgets,38.25,90.0,SouthEast
186,2025-01-11,Widge,2660.51,15.0,Unknown
187,2025-01-07,Wdgt,4838.29,95.0,Unknown
187,2025-01-01,Gadgets,3570.42,18.0,NorthEast
188,2025-01-12,Widget,abc,-5.0,Unknown
189,2025-01-02,Widge,4649.4,82.0,NorthWest
191,2025-01-10,Widgets,2912.74,66.0,West
192,2025-01-05,Widget,889.66,13.0,West
192,2025-01-12,Widgets,3589.97,,SouthWest
194,2025-01-06,Widget,208.93,97.0,SouthEast
195,2025-01-02,Widgets,4776.18,67.0,SouthWest
196,2025-01-02,Widget,555.88,71.0,East
197,2025-01-06,Gadgets,2914.29,31.0,East
198,2025-01-15,Widgets,4158.03,64.0,Unknown
199,2025-01-04,Gadgets,3065.39,11.0,SouthWest
200,2025-01-09,Gadgets,265.51,13.0,NorthWest
200,2025-01-11,Gadgets,2669.33,43.0,West
201,2025-01-01,Widge,4414.8,2.0,SouthEast
202,2025-01-11,Widge,1346.22,-1.0,NorthEast
203,2025-01-11,Widgets,abc,42.0,Unknown
205,2025-01-13,Gadgets,4419.99,3.0,Unknown
205,2025-01-05,Widget,629.29,51.0,SouthEast
206,2025-01-02,Widget,3987.62,0.0,East
208,2025-01-07,Gadget,3577.1,32.0,SouthWest
208,2025-01-15,Wdgt,17200.36,,SouthEast
209,2025-01-10,Gadget,1660.18,79.0,NorthWest
211,2025-01-01,Widge,4232.63,61.0,West
212,2025-01-02,Gadget,3884.77,47.0,West
213,2025-01-04,Widget,2593.57,,Unknown
213,2025-01-10,Widgets,abc,,East
214,2025-01-15,Wdgt,81687.75,65.0,SouthEast
216,2025-01-09,Gadget,3860.35,83.0,East
216,2025-01-11,Wdgt,1491.45,14.0,NorthWest
218,2025-01-02,Widgets,4799.0,36.0,SouthWest
219,2025-01-13,Widgets,4770.37,29.0,West
220,2025-01-10,Widget,3502.07,,West
221,2025-01-09,Widge,2365.34,4.0,NorthEast
222,2025-01-08,Widge,2045.48,21.0,NorthWest
222,2025-01-14,Widget,3265.56,75.0,Unknown
223,2025-01-01,Widget,42.46,98.0,NorthEast
225,2025-01-08,Widgets,2971.62,17.0,NorthWest
225,2025-01-15,Widgets,3304.0,96.0,SouthEast
227,2025-01-11,Widgets,4005.28,59.0,West
227,2025-01-06,Wdgt,4489.44,6.0,NorthWest
228,2025-01-13,Gadgets,3822.3,32.0,West
229,2025-01-11,Widget,2686.47,90.0,East
231,2025-01-12,Widget,abc,41.0,West
232,2025-01-10,Gadget,1345.16,49.0,East
232,2025-01-15,Widgets,57474.89,64.0,SouthWest
233,2025-01-11,Gadget,170.09,80.0,NorthEast
235,2025-01-06,Wdgt,2325.31,71.0,SouthEast
235,2025-01-01,Widgets,1610.61,31.0,NorthEast
236,2025-01-03,Wdgt,3548.15,97.0,SouthWest
238,2025-01-02,Gadgets,51937.68,3.0,SouthWest
239,2025-01-02,Gadgets,3.3,88.0,SouthWest
240,2025-01-06,Gadgets,180.93,78.0,Unknown
240,2025-01-15,Gadget,1860.0,70.0,SouthWest
242,2025-01-13,Gadget,3.32,39.0,East
242,2025-01-11,Gadget,1196.42,98.0,East
243,2025-01-13,Widge,3307.83,-2.0,NorthEast
244,2025-01-13,Wdgt,3178.32,,West
246,2025-01-06,Widge,145.7,42.0,SouthWest
246,2025-01-01,Gadget,4193.3,87.0,Unknown
247,2025-01-10,Widget,11895.93,40.0,NorthWest
249,2025-01-08,Wdgt,4113.74,17.0,Unknown
250,2025-01-13,Widge,2097.3,73.0,NorthWest
250,2025-01-13,Widgets,784.16,46.0,SouthEast
252,2025-01-12,Widge,4286.36,,East
252,2025-01-12,Gadget,4041.51,30.0,NorthEast
254,2025-01-06,Widget,4247.99,68.0,SouthWest
255,2025-01-05,Gadget,3250.1,57.0,Unknown
256,2025-01-09,Widget,3819.25,37.0,SouthWest
256,2025-01-14,Gadget,4581.99,48.0,Unknown
258,2025-01-10,Gadget,3536.06,60.0,NorthEast
258,2025-01-12,Widgets,135.6,69.0,West
260,2025-01-13,Widgets,2202.16,32.0,NorthWest
261,2025-01-08,Widget,2070.58,53.0,SouthWest
262,2025-01-07,Widgets,4982.57,57.0,SouthWest
263,2025-01-15,Widget,1728.51,24.0,SouthWest
263,2025-01-06,Gadgets,4641.18,80.0,East
264,2025-01-02,Widget,4011.29,40.0,SouthEast
265,2025-01-11,Widge,712.38,70.0,Unknown
267,2025-01-04,Widget,2669.85,-2.0,West
268,2025-01-06,Widget,39572.63,19.0,SouthEast
268,2025-01-02,Widge,1738.81,59.0,West
270,2025-01-15,Widget,1751.25,-3.0,NorthEast
271,2025-01-15,Widgets,29259.41,64.0,NorthWest
271,2025-01-06,Gadget,107.68,45.0,SouthEast
273,2025-01-09,Gadgets,abc,68.0,Unknown
273,2025-01-15,Gadget,3825.71,78.0,East
275,2025-01-09,Gadget,2290.94,98.0,West
276,2025-01-03,Widge,3648.02,39.0,West
276,2025-01-XX,Gadget,898.51,,West
277,2025-01-15,Widget,4561.73,51.0,West
279,2025-01-10,Widge,522.99,,SouthEast
280,2025-01-06,Gadgets,4539.62,,NorthEast
281,2025-01-12,Gadgets,1146.94,80.0,NorthEast
282,2025-01-14,Wdgt,1420.74,19.0,SouthWest
283,2025-01-14,Gadget,2726.11,,Unknown
284,2025-01-08,Gadgets,164.82,71.0,SouthEast
284,2025-01-XX,Gadget,1968.49,51.0,Unknown
286,2025-01-13,Widget,183.09,7.0,East
287,2025-01-12,Gadget,3756.44,56.0,Unknown
287,2025-01-10,Widge,80.36,90.0,NorthEast
288,2025-01-02,Widge,1626.51,76.0,NorthEast
289,2025-01-08,Wdgt,3269.74,61.0,Unknown
291,2025-01-15,Widge,282.53,50.0,East
292,2025-01-05,Wdgt,818.62,87.0,NorthWest
293,2025-01-02,Gadget,4330.33,78.0,SouthEast
293,2025-01-03,Widgets,573.49,27.0,West
294,2025-01-12,Widgets,3606.23,41.0,NorthWest
296,2025-01-05,Gadgets,3277.96,,Unknown
296,2025-01-04,Gadget,226.29,86.0,Unknown
297,2025-01-08,Gadgets,2552.05,63.0,West
298,2025-01-14,Gadgets,1357.5,12.0,NorthEast
299,2025-01-07,Widge,452.4,28.0,SouthWest
300,2025-01-15,Gadgets,256.57,27.0,NorthWest
301,2025-01-08,Gadget,4238.12,,NorthWest
303,2025-01-09,Widget,3490.3,12.0,Unknown
304,2025-01-06,Widgets,4367.33,96.0,West
305,2025-01-14,Gadget,2585.93,-4.0,NorthEast
306,2025-01-11,Gadget,3063.86,92.0,NorthEast
307,2025-01-12,Gadget,96157.27,84.0,NorthWest
307,2025-01-05,Widget,3123.05,78.0,Unknown
308,2025-01-05,Gadgets,2680.02,50.0,NorthEast
310,2025-01-02,Widgets,3138.74,,NorthWest
311,2025-01-05,Wdgt,2571.03,63.0,NorthEast
311,2025-01-03,Wdgt,988.41,99.0,SouthWest
313,2025-01-04,Gadget,55.12,65.0,SouthEast
313,2025-01-06,Widge,965.02,56.0,SouthEast
315,2025-01-15,Gadget,1206.71,86.0,East
316,2025-01-12,Wdgt,3829.25,51.0,West
316,2025-01-05,Widge,3928.28,73.0,SouthEast
318,2025-01-12,Wdgt,1812.55,3.0,Unknown
318,2025-01-XX,Gadgets,4528.66,29.0,NorthWest
319,2025-01-XX,Widge,113.67,,West
321,2025-01-14,Gadgets,2838.28,-1.0,West
322,2025-01-06,Widge,3114.69,68.0,East
323,2025-01-02,Widgets,184.01,58.0,SouthEast
324,2025-01-09,Widget,4981.4,78.0,NorthEast
325,2025-01-XX,Wdgt,4140.78,76.0,NorthWest
325,2025-01-XX,Widget,694.49,3.0,Unknown
327,2025-01-09,Widget,1248.02,71.0,West
328,2025-01-14,Wdgt,3358.08,64.0,East
329,2025-01-05,Widgets,2879.91,94.0,SouthEast
330,2025-01-07,Gadget,2910.71,79.0,SouthEast
330,2025-01-03,Widge,564.22,7.0,Unknown
332,2025-01-12,Widge,283.41,92.0,NorthEast
332,2025-01-10,Widget,4163.42,86.0,SouthEast
333,2025-01-14,Widge,96328.23,62.0,NorthEast
335,2025-01-XX,Gadgets,1564.28,60.0,NorthEast
336,2025-01-15,Gadget,200.51,15.0,West
337,2025-01-08,Widge,4593.74,25.0,SouthEast
338,2025-01-05,Widge,3132.03,49.0,East
338,2025-01-10,Gadgets,1915.13,14.0,East
339,2025-01-01,Wdgt,77946.91,42.0,East
340,2025-01-03,Widgets,2809.29,77.0,East
341,2025-01-01,Widget,263.25,13.0,SouthWest
343,2025-01-05,Wdgt,759.93,63.0,West
343,2025-01-12,Widgets,785.75,15.0,NorthWest
345,2025-01-04,Gadget,2710.44,35.0,SouthEast
345,2025-01-12,Gadgets,4615.36,82.0,SouthWest
347,2025-01-12,Widget,1780.45,74.0,East
347,2025-01-11,Gadget,435.99,21.0,Unknown
348,2025-01-15,Widgets,4139.37,44.0,West
350,2025-01-05,Widget,15765.64,20.0,West
350,2025-01-04,Widge,4370.63,60.0,West
352,2025-01-05,Widget,2429.79,-2.0,NorthWest
352,2025-01-02,Gadgets,2068.17,0.0,SouthEast
354,2025-01-14,Widge,441.89,73.0,West
354,2025-01-04,Gadgets,684.71,10.0,SouthWest
356,2025-01-02,Gadget,1184.99,74.0,NorthWest
357,2025-01-14,Widge,1006.72,42.0,Unknown
357,2025-01-10,Widget,2714.39,44.0,SouthWest
359,2025-01-05,Widge,abc,25.0,SouthEast
360,2025-01-10,Gadgets,2672.74,42.0,Unknown
361,2025-01-09,Gadget,3097.97,42.0,SouthWest
362,2025-01-14,Widget,10222.94,35.0,SouthEast
362,2025-01-05,Widgets,4482.05,41.0,SouthEast
364,2025-01-01,Widget,365.17,86.0,NorthEast
364,2025-01-11,Widget,4777.29,-4.0,SouthWest
366,2025-01-10,Wdgt,2718.86,95.0,NorthEast
367,2025-01-07,Widge,abc,-3.0,Unknown
367,2025-01-08,Widget,1609.14,20.0,NorthEast
369,2025-01-03,Wdgt,1329.53,43.0,West
369,2025-01-07,Widget,2563.25,-4.0,West
370,2025-01-12,Widget,3065.34,,Unknown
372,2025-01-11,Widget,1787.82,1.0,NorthWest
372,2025-01-03,Wdgt,3634.39,0.0,NorthWest
373,2025-01-02,Wdgt,2197.35,97.0,Unknown
374,2025-01-XX,Widge,2841.83,100.0,East
375,2025-01-07,Widgets,19405.94,16.0,West
377,2025-01-15,Gadgets,2442.57,6.0,SouthEast
378,2025-01-15,Gadgets,2654.44,31.0,NorthWest
379,2025-01-13,Widget,25621.15,43.0,SouthWest
380,2025-01-13,Gadget,4869.43,67.0,NorthEast
381,2025-01-14,Gadget,1238.05,-4.0,Unknown
381,2025-01-13,Widget,4580.79,2.0,SouthWest
382,2025-01-14,Widge,2770.37,83.0,NorthEast
384,2025-01-04,Gadget,3777.12,4.0,NorthWest
384,2025-01-06,Widgets,4972.45,-2.0,NorthEast
386,2025-01-03,Widge,2662.99,61.0,West
387,2025-01-13,Gadgets,4839.31,31.0,NorthEast
387,2025-01-XX,Widgets,3875.46,80.0,NorthWest
388,2025-01-05,Gadgets,2459.32,1.0,NorthWest
390,2025-01-08,Wdgt,3707.12,68.0,Unknown
390,2025-01-01,Gadgets,535.55,75.0,NorthWest
391,2025-01-12,Gadgets,1565.27,51.0,East
392,2025-01-04,Wdgt,173.56,86.0,SouthEast
394,2025-01-14,Wdgt,107.41,49.0,NorthEast
395,2025-01-03,Gadget,3180.01,89.0,East
396,2025-01-08,Widgets,abc,93.0,Unknown
396,2025-01-04,Wdgt,3464.53,23.0,NorthWest
398,2025-01-09,Widge,3542.46,59.0,NorthWest
398,2025-01-09,Gadget,3258.18,37.0,West
400,2025-01-01,Gadgets,294.44,32.0,West
400,2025-01-10,Gadget,179.87,65.0,NorthEast
402,2025-01-09,Wdgt,2486.59,-1.0,Unknown
403,2025-01-03,Gadgets,1945.68,8.0,Unknown
403,2025-01-04,Widget,1340.44,26.0,NorthWest
405,2025-01-01,Wdgt,1132.68,,SouthEast
406,2025-01-02,Gadgets,138.14,78.0,NorthEast
407,2025-01-07,Wdgt,4689.06,40.0,NorthWest
407,2025-01-13,Widgets,3484.6,7.0,SouthEast
409,2025-01-05,Widgets,2050.61,84.0,SouthEast
409,2025-01-05,Widget,2371.0,55.0,NorthWest
411,2025-01-06,Widget,2149.07,8.0,West
412,2025-01-15,Gadget,1272.96,14.0,Unknown
412,2025-01-12,Wdgt,4044.85,1.0,SouthWest
414,2025-01-06,Gadget,179.28,96.0,East
414,2025-01-05,Gadgets,2496.29,96.0,West
415,2025-01-06,Gadget,3263.1,,West
416,2025-01-15,Widget,4258.15,93.0,Unknown
417,2025-01-07,Widgets,2209.06,82.0,SouthEast
418,2025-01-12,Widge,1762.91,6.0,Unknown
419,2025-01-04,Widge,abc,97.0,West
421,2025-01-05,Widget,3356.62,18.0,Unknown
421,2025-01-02,Widge,3309.85,25.0,NorthEast
422,2025-01-03,Gadget,1720.74,,SouthEast
424,2025-01-09,Widge,1616.18,-3.0,NorthWest
425,2025-01-13,Widge,4968.27,88.0,SouthEast
426,2025-01-07,Widget,3761.25,70.0,NorthEast
427,2025-01-03,Widge,4482.64,99.0,Unknown
428,2025-01-03,Widgets,2961.3,,SouthEast
428,2025-01-06,Gadgets,abc,23.0,SouthWest
430,2025-01-07,Gadget,3708.02,2.0,SouthEast
431,2025-01-09,Widget,1354.91,97.0,SouthWest
432,2025-01-07,Gadgets,4367.96,0.0,SouthEast
433,2025-01-15,Widgets,4122.46,80.0,East
434,2025-01-03,Widgets,3889.62,82.0,SouthWest
435,2025-01-08,Gadgets,1855.84,87.0,Unknown
436,2025-01-04,Gadget,14745.74,71.0,SouthWest
436,2025-01-XX,Wdgt,368.65,72.0,SouthWest
438,2025-01-11,Wdgt,4778.46,61.0,West
439,2025-01-08,Widgets,3282.54,74.0,East
440,2025-01-14,Widge,3980.71,100.0,West
441,2025-01-XX,Widge,abc,20.0,West
441,2025-01-09,Gadget,2953.31,44.0,West
442,2025-01-03,Widget,3214.53,85.0,SouthEast
443,2025-01-09,Widgets,4882.79,75.0,West
445,2025-01-03,Gadget,1206.78,100.0,NorthWest
445,2025-01-07,Widge,3685.04,94.0,NorthWest
446,2025-01-10,Widget,3293.05,84.0,East
448,2025-01-11,Wdgt,2373.08,28.0,West
448,2025-01-09,Widge,4517.35,59.0,West
449,2025-01-04,Gadget,4953.51,68.0,West
451,2025-01-05,Widge,3040.37,20.0,NorthEast
451,2025-01-02,Widgets,883.34,31.0,SouthEast
453,2025-01-13,Widget,1182.25,18.0,SouthWest
453,2025-01-02,Gadget,4524.64,-1.0,SouthEast
454,2025-01-07,Widgets,4661.98,12.0,NorthEast
456,2025-01-03,Wdgt,2278.96,-5.0,NorthEast
457,2025-01-08,Widget,3089.51,30.0,NorthWest
457,2025-01-15,Wdgt,1183.04,25.0,NorthEast
458,2025-01-02,Widget,77.65,39.0,East
460,2025-01-04,Gadgets,675.4,100.0,East
461,2025-01-02,Gadgets,1682.55,84.0,West
462,2025-01-14,Gadget,3340.38,90.0,Unknown
463,2025-01-01,Gadget,4983.01,16.0,NorthEast
464,2025-01-11,Widgets,2466.41,11.0,East
464,2025-01-04,Widget,2558.59,51.0,East
465,2025-01-01,Gadgets,4592.64,23.0,NorthWest
466,2025-01-13,Widge,2674.09,66.0,West
467,2025-01-08,Wdgt,3122.3,22.0,NorthEast
468,2025-01-06,Widgets,3232.78,28.0,West
469,2025-01-12,Gadget,3141.66,29.0,East
471,2025-01-05,Widge,1136.63,92.0,SouthWest
472,2025-01-11,Wdgt,4393.58,40.0,East
473,2025-01-06,Gadget,4518.31,18.0,East
473,2025-01-06,Wdgt,929.34,83.0,NorthWest
475,2025-01-08,Widget,59189.92,100.0,SouthEast
476,2025-01-05,Widgets,836.58,66.0,Unknown
477,2025-01-04,Wdgt,792.33,76.0,SouthEast
477,2025-01-06,Gadget,1754.3,39.0,NorthEast
478,2025-01-10,Wdgt,708.59,18.0,West
480,2025-01-02,Wdgt,2790.07,9.0,SouthEast
481,2025-01-10,Wdgt,525.45,33.0,West
482,2025-01-01,Gadget,570.57,61.0,SouthEast
483,2025-01-03,Widge,1049.01,17.0,East
483,2025-01-09,Gadget,1108.65,1.0,NorthWest
485,2025-01-11,Wdgt,298.21,30.0,SouthWest
485,2025-01-10,Gadgets,490.17,86.0,NorthEast
487,2025-01-12,Wdgt,1268.59,86.0,NorthEast
488,2025-01-07,Wdgt,4530.74,58.0,NorthEast
489,2025-01-15,Wdgt,2959.96,84.0,Unknown
490,2025-01-03,Wdgt,2120.32,42.0,Unknown
491,2025-01-12,Widget,885.17,92.0,West
492,2025-01-03,Wdgt,4568.8,88.0,East
493,2025-01-02,Widge,3033.93,61.0,East
493,2025-01-13,Gadgets,2647.18,99.0,NorthEast
495,2025-01-02,Widge,2392.68,,NorthEast
495,2025-01-07,Wdgt,1933.38,72.0,NorthWest
497,2025-01-XX,Widge,2511.44,27.0,SouthEast
497,2025-01-05,Widgets,1135.07,35.0,East
499,2025-01-12,Widget,4368.62,-3.0,NorthEast
499,2025-01-11,Widge,3084.97,25.0,SouthWest
501,2025-01-09,Gadget,227.18,25.0,SouthEast
501,2025-01-11,Gadget,3936.93,,Unknown
502,2025-01-09,Widge,1038.36,-5.0,SouthWest
504,2025-01-13,Gadgets,4312.05,43.0,NorthEast
504,2025-01-02,Widge,2090.48,80.0,NorthEast
505,2025-01-02,Widgets,4127.06,93.0,NorthWest
506,2025-01-08,Widge,4512.8,,SouthEast
508,2025-01-07,Gadget,2731.32,5.0,East
508,2025-01-09,Widge,2268.96,,East
510,2025-01-03,Wdgt,2949.58,43.0,NorthEast
510,2025-01-13,Gadget,2946.97,26.0,NorthEast
511,2025-01-15,Widgets,1996.88,20.0,NorthWest
